ds,y,yhat,yhat_lower,yhat_upper,granularity
2016-10-01,47375.97,93289.18431716999,-70569.03447183938,265949.74948936485,month
2016-12-01,19.62,200133.89159295027,24569.37571138375,372791.4592957257,month
2017-01-01,128454.1,254432.02152430662,76372.82752622564,435395.6504118109,month
2017-02-01,272657.26,308730.1514582628,131318.17657577735,487724.79303358315,month
2017-03-01,416327.3,357773.6236603895,187686.140448221,530950.6924992772,month
2017-04-01,391484.45,412071.75359867787,238644.24642294738,595894.999357146,month
2017-05-01,570643.9,464618.33095724136,292553.6631242058,631264.057848014,month
2017-06-01,494147.47,518916.4608916663,343285.6718911984,684455.8182877699,month
2017-07-01,570027.48,571463.0382437982,392105.27733508626,736691.2074429146,month
2017-08-01,651423.74,625761.1681715864,446028.5267623974,797890.8677837062,month
2017-09-01,703784.56,680059.2980899343,503162.6791349032,843302.3443042771,month
2017-10-01,755217.45,732605.8750934027,566852.7714238168,890400.5936029739,month
2017-11-01,1161785.7,786903.9917752158,608587.5921712987,961853.4520659314,month
2017-12-01,846369.6,839450.5529948146,682828.9413261212,1019133.0637897584,month
2018-01-01,1084202.96,893748.6662577557,716085.5333959202,1071492.2625970924,month
2018-02-01,977226.23,948046.1475238634,782075.7161928416,1126747.3111917367,month
2018-03-01,1125026.32,997089.0338263606,819631.697969069,1177705.2694799325,month
2018-04-01,1135408.11,1051386.5150886357,883056.6361985233,1227983.3881879447,month
2018-05-01,1129431.65,1103932.4646972893,928606.648350534,1272177.6492460137,month
2018-06-01,1012446.32,1158229.9459595645,984181.9237147798,1340431.773743395,month
2018-07-01,1029641.24,1210775.8955682176,1039150.8591498098,1372641.0691891026,month
2018-08-01,985596.34,1265073.376830493,1097852.043192131,1443587.6547159292,month
2018-09-01,,1319370.8580927681,1149359.4787700635,1481064.8042321133,month
2018-10-01,,1371916.8077014214,1200679.970730104,1550661.5370455978,month
2018-11-01,,1426214.2889636972,1246469.6080166632,1593130.8801783137,month
2016-10-03,43298.42,32285.816721311996,-36492.32057501883,110536.11159020686,week
2016-10-10,4077.55,34864.88521097018,-35822.348236585465,103196.48282900652,week
2016-12-19,19.62,60655.570107552,-12202.628101860659,134515.27763068603,week
2017-01-02,3651.3900000000003,65813.70708686838,-11525.26393251135,136229.19770122322,week
2017-01-09,12751.53,68392.77557695565,-5292.841200647948,139429.92525381438,week
2017-01-16,27385.74,70971.84406704291,16.826771653367103,151420.4986764724,week
2017-01-23,61442.63,73550.91255713018,6854.054379758691,148641.63103593173,week
2017-01-30,78498.02,76129.98104537501,-3052.901751070955,150229.77405114454,week
2017-02-06,87489.82,78709.04953361984,5531.467718428915,157484.50505049565,week
2017-02-13,60510.83,81288.11802186465,13711.086523829465,153493.84452640152,week
2017-02-20,50667.13,83867.18650839209,6439.6724184344575,154087.79244729865,week
2017-02-27,77991.37,86446.25499491952,10406.54411089111,163772.0281024864,week
2017-03-06,85531.62,89025.32347962745,17180.63831942065,161265.41207962806,week
2017-03-13,106970.33,91604.39196433539,15270.258268881906,168754.35129756975,week
2017-03-20,97957.84,94183.4604490433,18354.483119169963,167899.99436526807,week
2017-03-27,95902.18000000001,96762.5289328971,24431.033301934098,166251.3591591611,week
2017-04-03,99211.04000000001,99341.59741675087,26126.93466996949,172272.86533608302,week
2017-04-10,64812.43,101920.66590060464,30721.351308564193,172530.14815523784,week
2017-04-17,96675.26,104499.73438395733,35891.3694508419,181935.72647992353,week
2017-04-24,101473.95,107078.80286731002,37110.579791493445,178724.32157504474,week
2017-05-01,113431.85,109657.87135066274,32793.1312157861,186279.56296459818,week
2017-05-08,126641.31,112236.93982836978,40938.84767617095,188331.7713190444,week
2017-05-15,141497.51,114816.00830607682,37568.733110256944,189976.56328770655,week
2017-05-22,130698.83,117395.07678378384,50919.22015627972,197281.79660560956,week
2017-05-29,129243.53,119974.1452529929,42580.691042272665,191904.21541806552,week
2017-06-05,125680.32,122553.21372220192,47287.579204966525,190755.4699641881,week
2017-06-12,115691.04,125132.282191411,49441.17006759921,204845.92581749943,week
2017-06-19,101683.39,127711.35066023357,57904.16399648238,200120.83457836535,week
2017-06-26,107066.14,130290.41912905616,55962.214671734844,206143.28988348812,week
2017-07-03,121017.86,132869.48759613873,61654.3252548376,201387.50894232912,week
2017-07-10,133138.52,135448.5560632213,60310.399871528476,207528.30036528115,week
2017-07-17,140263.05,138027.62453030387,63128.247326280456,207340.47938070496,week
2017-07-24,128509.03,140606.69298496103,65134.86791095499,212624.79375751858,week
2017-07-31,138150.51,143185.7614396182,71106.69851443837,220395.19429488832,week
2017-08-07,146546.02,145764.82989427532,70903.57887733461,218558.2260920131,week
